Cover Name,Section Name,Feature Name,Feature ID,Point to Consider,Policy Name,Policy Code,Policy Insurer,Policy Wording Path,Policy Content,Policy Icon,Policy Page
Private Motor (including Prestige),Type of Policy,Comprehensive Policy - Loss or Damage to Insured Vehicle,103,"Does the Insurer offer Comprehensive cover?

Comprehensive cover insures the vehicle for sudden, unforeseen and accidental loss or damage not otherwise excluded by the policy.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Agreed Value Available,106,"Does the Insurer offer Agreed Value?

Agreed value is where the Insured and the Insurer agree on the Value of cover against loss or damage during a period of insurance. 

If the vehicle is a total loss, the Insurer pays the Agreed Value stated in the schedule.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Market Value Available,107,"Does the Insurer offer Agreed Value?

Market Value is what the vehicle is worth before the damage occurs. 

If a vehicle is a total loss the insurance assessor considers the value of the vehicle immediately prior to the accident. 

The Market Value changes daily according to market fluctuations, so the price paid for a vehicle is not always the amount it can be insured for.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Named Driver Available,13121,"Does the Insurer offer the ability to have a Named Driver Only policy.

This means that the Insurer will only cover the vehicle when it is being driven by the person/s named in the schedule.

A reduced premium usually applies due to the reduction in risk involved.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Pay As You Drive/Limited Kilometres,37490,"Some Insurers will base their premium on the amount of times the Vehicle is driven. This usually results in a premium reduction for Vehicles that are driven less due to the reduction in risk involved.

The Insurer may (a) have a set number of kilometres that the Insured cannot exceed without purchasing more kilometres (b) request the Insured nominate the set number of kilometres and/or (c) take the odometer reading on the first and last day of the first period of insurance then work out the kilometres for subsequent periods. 

The number of kilometres agreed upon will be shown on the schedule and must be regularly checked to ensure that the Vehicle will not go over the kilometre limit.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Restricted Drivers Applies,13122,"Does the Insurer restrict coverage to only certain types of drivers?

This most common restriction is age whereby the insurer will only cover drivers who are aged above a specified limit.

This is separate to a Named Driver policy as the drivers do not need to be named, they just need to fall within the guidelines of the policy restrictions.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,"Third Party, Fire and Theft Policy Only Option",4681,"Does the Insurer offer Third Party, Fire & Theft cover as a stand-alone policy under this wording? Third Party, Fire & Theft cover insures the vehicle against Third Party Property Damage as well as limited cover for Fire & Theft. There is usually a monetary limit placed on the Fire & Theft cover.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Type of Policy,Third Party Property Damage Policy Only Option,4682,Does the Insurer offer Third Party Property Damage cover as a stand-alone policy under this wording? Third Party Property Damage cover insures the vehicle against any liability they may incur as a result of loss or damage to property of a third party.  ,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Part of Vehicle Definition,Standard Tools and Accessories,4683,"Details whether the definition of the vehicle includes standard tools and accessories.

The majority of Insurers will include standard tools accessories and equipment supplied and installed by the manufacturer.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Part of Vehicle Definition,"Non-standard Extras, Modifications and Accessories",4684,"Details whether the definition of the vehicle includes non-standard extras modifications and accessories.

Some Insurers will offer a monetary limit for these items that aren't noted on the schedule whilst others will specify that all items must be noted on the schedule.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Artwork,13123,"The amount the Insurer is willing to pay with respect to the damage that is caused to the artwork or signwriting of an Insured's vehicle in the event of a claim.

There is usually a specified monetary limit and it may be additional to the SI or market value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Automatic Cover on Replacement Vehicles,108,"If during a period of insurance, the Insured decided to replace the insured vehicle, then the policy provides automatic cover for the substitute vehicle for a stated number of days.

Cover on a replacement vehicle is on the standard policy terms from the date of purchase, provided that the Insured notifies the insurer within a stated number of days after the date of purchase.

The amount that the vehicle is insured for may be limited to a monetary figure, the purchase price or the market value (or the lesser of each).

Some Insurers will only offer this benefit if the value of the replacement vehicle is below a certain amount.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Car Sharing/Pooling (Private),30527,Insurer pays for accidental loss or damage when the insured vehicle is being used in a car sharing agreement including travelling to and from work provided any payment by passengers does not involve commercial use for profit.  ,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Caravan - Loss or Damage Whilst Attached,579,"If the insured vehicle is towing a caravan, this benefit will cover loss or damage to the caravan provided it is not otherwise insured.

Some Insurers will stipulate that a claim must have been accepted for loss or damage to the towing vehicle for this benefit to take effect.

There is usually a monetary limit placed on the cover.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Child Seat/Baby Capsule - Automatic cover,4685,"This benefit outlines whether there is separate cover provided for a child seat or baby capsule if it is stolen or damaged by an insured event while it is fitted to the insured vehicle. A Child Seat/Baby Capsule is usually found as an additional benefit with a monetary limit applied, or may be included in the Vehicle definition, or within the Personal Property benefit. 
 
If not specifically mentioned in the wording, the Insurer may agree to cover the item if listed on the policy schedule as per Non-Standard Extras or Accessories.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Domestic Benefit,37489,"This benefit comes into effect if the claim under the policy is for damage arising from a deliberate act by a current or former spouse or partner of the Insured or a driver listed on the policy. 

The Insurer does not charge an excess if the damage is as a result of this.

There is a condition that the incident be reported to the police .  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Driver Death or Permanent Injury,104,"This benefit provides compensation if the Insured, a member of their immediate family or another person as shown in the policy as covered, dies or is permanently injured whilst driving the vehicle. 

There is usually a stipulation that death must occur within a stated period after the event. 

Some Insurers may only offer Death or Permanent Injury but not both.

There is usually a monetary limit placed on the Death aspect and a range of benefits for Permanent Injury depending on the injury in question.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Emergency Expenses - Breakdown,13124,"The benefit provides cover for reasonable travel and/or accommodation costs if the insured vehicle is unable to be driven following a mechanical or electrical breakdown whilst beyond a stated distance from the usual garaging address.

There is usually a monetary limit placed on the cover. 

This benefit may be additional to the Sum Insured or Market Value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Emergency Services Costs - Police/Fire/Ambulance,30528,"This benefit covers any fees or charges imposed by the government or any other body in relation to a claim. In some cases emergency services will charge a cost to attend and incident which is passed on to the Insured. In this case, this benefit will provide a monetary amount towards those costs.

Fees could include fire brigade services, emergency services, police or ambulance.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Expediting Expenses - Repairs,35617,"In certain circumstances Vehicle repairs can take longer than usual for varying reasons.An example of this is when the parts required are unavailable locally. Most Insurer's will only pay surface freight charges which can mean that the repairs are delayed for a significant amount of time whilst the repairer waits for the parts to arrive. The benefit provided under Expediting Expenses means that the Insurer will pay an additional amount to ensure that repairs are carried out as quickly as possible. Using the example provided, these costs may include air freight so the parts arrive in a more timely manner. ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Finance Gap Cover,1131,"If an Insured's vehicle is subject to finance, the sum insured or market value may not be enough to cover the amount the insured owes the finance company.The finance payout option is designed to pay an amount over and above the sum insured or market value to help with these expenses.There is usually a cap on the amount or percentage of the market value or sum insured that the Insurer will be willing to pay and the Insurer will never pay more than the amount owed. This option will not cover the amount the Insured was in arrears prior to the loss or in most cases any penalty amount for early termination of the finance payout.",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Funeral Expenses,13126,"Cover may be provided for funeral costs arising from the death of the insured driver or passengers due to an insured event. There is normally a condition that death occurs within a certain period following the accident.

A sub-limit will generally apply and this may also include such costs as the transportation of the deceased to a location within Australia and/or travel costs of the deceased persons immediate family to attend the funeral.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Legal Costs - Coroner or Magistrate (Separate from Legal Liability Costs),13128,"This benefit provides coverage for legal costs and expenses incurred in defending any court proceedings arising from accidental loss damage or liability covered under policy.

It will usually exclude legal costs and expenses relating to criminal or traffic proceedings.

This benefit may be additional to the SI or market value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Lifetime No Claim Bonus,13129,"This benefit outlines any circumstances where the Insurer may offer a Lifetime No Claim Bonus to the Insured.

The benefit usually comes into effect once a specified claim free period has expired.

The difference between this benefit and No Claim Bonus Protection is that the Insurer automatically applies the benefit and it cannot be purchased for an additional premium.
  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Loan Vehicle - Cover for Vehicle on Loan While Insured Vehicle Being Serviced/Repaired (Loss not Required),30529,"This benefit provides cover for any loan Vehicle that has been provided to the Insured whilst the Insured Vehicle is being serviced or repaired.

The servicing or repair does not necessarily need to be as a result of a claimable event, and can simply be routine maintenance.

The majority of Insurers who provide this benefit do so on the basis that the loan Vehicle will be covered for the same level of cover that the insured Vehicle is. i.e. comprehensive cover and will usually be limited to the market value of the loan Vehicle.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Medical/Hospital Expenses,571,"This benefit provides cover for reasonable costs for hospital, medical, dental, pharmaceutical and/or ambulance expenses if the Insured is injured as a result of an insured event.

There is usually a stipulation that excludes any costs recoverable from Medicare, workers compensation or any another government scheme or arrangement.

Policies may differ in who is eligible to receive the benefit. 
",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,New Replacement Vehicle + On Road Costs,572,"Should the insured vehicle be declared a total loss within a specified timeframe from its original registration, this benefit provides for the replacement of the vehicle plus any on road costs.

The specified timeframe varies with Insurers, however, the majority of Insurers will place a condition that the Insured must be the first registered owner of the vehicle. There may also be a restriction on the number of kilometres that the vehicle has travelled.

The inclusion of on road costs also varies with Insurers and most Insurers will require the consent of any financier.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,No Claim Bonus Protection,4687,"This benefit outlines whether the Insurer offers the Insured the ability to protect their No Claim Bonus.

This means that once the Insured has reached a maximum No Claim Bonus, they can protect it against reduction following a claim.

The benefit may be optional for an increased premium and may cover all subsequent claims or place a limit on the number of claims that the Insured may make per period of insurance without the No Claim Bonus being affected.

There may be a stipulation on the number of claim free years or years that the Insured had been licensed for the cover to apply.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,No Claim Bonus - When it Isn't Affected,30556,"Whilst a ""No Claim Bonus"" is traditionally affected whenever a claim is made, some Insurers have started to outline events where they will not penalise the Insured for making a claim.

The majority of Insurers will not penalise the Insured if they make a claim for an accident that was not their fault and the other party's full details can be supplied as this usually results in the Insurer being able to recover their costs.

Some Insurers are now also not affecting the No Claim Bonus for incidents that are not the Insured's fault even when the responsible party cannot be identified or the event is as a result of an ""Act of God"". These events can include: Damage Whilst Parked, Storm, Rain Wind and other naturally occurring events.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Personal Property Stolen or Damaged (separate from Tools/Tools of Trade),573,"This benefit provides cover for personal property that is damaged as a result of the vehicle being damaged in an insured event. 

There is usually a stipulation that the property must be in or on the vehicle at the time of the event and it usually includes personal property that was stolen along with the vehicle.

There is usually a monetary limit placed on the cover and the definition of what the Insurer considers Personal Property can vary so it would be prudent for the Insured to understand the definition.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Removal of Debris/Clean Up Costs,13131,This benefit covers costs charges and expenses necessarily and reasonably incurred to clean up and remove any debris as a result of an accident involving the insured vehicle.  ,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Replacement of Keys/Locks After Theft of Keys,113,Reasonable costs to replace or recode keys and locks following the theft of the keys. There is usually a proviso that the theft must be reported to the police. A monetary limit usually applies and cover may or may not be free of excess. Some Insurers will extend cover to include the lock being maliciously damaged whilst others will place the restriction that there must be other claimable damage as well. This benefit may be additional to the SI.,Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Return of Vehicle Following Repairs,4688,"Reasonable cost to return the vehicle to its usual garaging address following repairs or it's recovery after being stolen.

A monetary limit may apply and coverage under this benefit may be combined with Emergency Travel.

There is usually a condition that the vehicle must be more than a specified number of kilometres from its usual garaging address for cover to come into effect.",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Return of Vehicle Following Theft,13132,"Reasonable cost to return the vehicle to its usual garaging address following repairs or it's recovery after being stolen.

A monetary limit may apply and coverage under this benefit may be combined with Emergency Travel.

There is usually a condition that the vehicle must be more than a specified number of kilometres from its usual garaging address for cover to come into effect.",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Ridesharing,30530,"Insurer pays for accidental loss or damage when the insured vehicle is being used for ride-sharing.

With the emeregence of ride-sharing companies such as Uber, Insurers are starting to address whether they will cover an event that occurs whilst the Vehicle is being used for such a purpose.

Some Insurers will provide cover, some will exclude cover and others will provide cover on a limited basis. 

As ridesharing businesses are fairly new, many Insurer's have not yet addressed cover so it is best to check with the Insurer where the policy is silent.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Roadside Assistance,30531,"Many Insurers are now including Roadside Assistance as part of their comprehensive policies. The benefits available under roadside assistance can vary from simply a callout to attend an accident or breakdown to assistance with finding emergency accommodation and travel arrangements.

This benefit may be automatically included or an option for an additional premium.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Taxi/Transport Cover for Drop off/Pick Up - Separate from Emergency Transport Away from Home,30532,"Some Insurer will offer additional cover for the Insured to catch a taxi home after dropping their Vehicle off for repairs and to catch a return taxi when collecting the Vehicle. 

This is separate cover from that provided under Emergency Transport as there is no requirement that the repair facility or Insured be beyond a specified distance from the Insured's home for it to come into effect.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Tools - Vehicles Tools Owned by the Insured and Not Supplied with Vehicle,30533,"This benefit provides coverage for tools that are owned by the Insured and not supplied with the Vehicle if lost damaged or stolen whilst within the Vehicle. 

This separate benefit applies as most Insurers will exclude these items from the definition of the Vehicle and/or personal property claimable. 

This benefit may be additional to the SI or market value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Tools of Trade - Tools Owned by the Insured and Used to Earn an Income (Not fitted to Vehicle),13134,"This benefit provides coverage for tools if lost, damaged or stolen whilst within the vehicle.

This separate benefit applies as most Insurers will exclude these items from the definition of the vehicle and/or personal property claimable.

This benefit may be additional to the SI or market value.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Towing/Storage/Protection,577,"If the vehicle is unable to be driven following an event for which a  claim has been accepted, the Insurer will pay the reasonable cost of removing the vehicle to the nearest repairer or place of safety.

Cover may also include storage costs for a specified period of time or until  the claim has been paid. ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Trailer - Loss or Damage Whilst Attached (Excluding Contents),580,"If the insured vehicle is towing a trailer, this benefit will cover loss or damage to the trailer provided it is not otherwise insured.

Some Insurers will stipulate that a claim must have been accepted for loss or damage to the towing vehicle for this benefit to take effect.

There is usually a monetary limit placed on the cover.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Windscreen Benefit - Excess Not Applicable When Windscreen is the Only Damage,4689,"Benefit provided by the policy where the Insured does not have to pay the policy excess in the event of a claim for damage to their windscreen or window glass provided it is the only damage to the vehicle. 

Some Insurers will extend cover to a sun roof and/or headlights.

Benefit can also extend to include no loss of No Claim Discount in the event of a claim.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
Private Motor (including Prestige),Related Benefits - General - Comprehensive Policies,Windscreen Benefit - No Claim Bonus Not Affected when Windscreen is the only Damage,30534,"Benefit provided by the policy where the insured Vehicle's no claim bonus will not be reduced in the event of a claim for damage to the Vehicle's windscreen or window glass only. 

Some policies will offer automatic cover which can apply to one windscreen breakage during any one policy period, or alternatively cover can be purchased as an optional benefit.  ",Car Insurance Policy (PDS),BestBuy-Car_0321-SPDS_0922,BestBuy Insurance,,,,
